formula,target
BaGe2O5,18.70455305221221
Li3SiNi3O8,6.543143883695639
Li2MnSnO4,6.699852637908288
Ba7HfN6,22.434512444514812
Sr3TeO6,4.854769373896284
SCl2,18.568437586984082
Be3N2,0.09810795166541296
Zr2TiSnO8,6.570757585613999
Li3Mn2O5,31.678680434257423
V2SiO7,13.477580385292033
Ge4PbO9,1.0257443297747093
HfTaNO3,5.282311569273084
VF4,15.98655939777979
S8O,13.005564229280338
TiZnSnO4,6.599950018427257
K9Li3I2O13,21.027494834151153
Rb2PdC2,30.63743327632478
IO3,23.900034370602885
Si2Ag6O7,13.109768826738133
Al5C3N,10.609486481881692
OF2,10.510872897165422
MnP2O7,30.079599408679876
Li2Fe(SiO3)2,0.3589248851246999
K2TlAsBr6,29.133909794662134
Te6IrI3,29.198838073776162
Rb3FeF6,0.0
NaNiBO3,0.7459011108804812
Li6CuF8,7.72191448129237
Li3VF7,1.8342127026027597
CrSi(Ag3O4)2,0.0
Ba7ZrN6,23.635270119712107
NbFe(PbO3)2,15.147884147895516
